GenBank gi	Locus	Fold	Gene Name and/or Information
1373542_at	BM386306	0.491	Similar to Sphingosine kinase 2 (SK 2) (SPK 2) (LOC308589), mRNA
1374098_at	AW530272	0.491	Transcribed sequence with moderate similarity to protein ref:NP_085155.1 (H.sapiens)  NG3 protein [Homo sapiens]
1375662_at	BI291391	0.491	Transcribed sequence with weak  similarity to protein ref:NP_116095.1 (H.sapiens)  hypothetical protein MGC12966 [Homo sapiens]
1376493_at	AI408996	0.491	Similar to 2310010I22Rik protein (LOC296285), mRNA
1388966_at	BM388250	0.491	Transcribed sequences
1389833_at	BF285924	0.491	EST450515 Rat Gene Index, normalized rat, Rattus norvegicus cDNA Rattus norvegicus cDNA clone RGIFL13 3' sequence, mRNA sequence.
1391494_at	AW527503	0.491	Similar to Vesicle-associated membrane protein 4 (VAMP-4) (LOC364033), mRNA
1392997_at	BF556742	0.491	Hypothetical LOC297486 (LOC297486), mRNA
1398409_at	AA850428	0.491	suppression of tumorigenicity 13 (colon carcinoma) Hsp70-interacting protein
1370690_at	S75280	0.49	70 kda heat shock protein precursor; Method: conceptual translation with partial peptide sequencing; This sequence comes from Fig. 2; Rattus sp. pre-mtHSP70 mRNA, complete cds; nuclear gene for mitochondrial product.
1371255_at	BG379941	0.49	Transcribed sequence with strong similarity to protein sp:P01112 (H.sapiens) RASH_HUMAN Transforming protein P21/H-RAS-1
1371445_at	BF285649	0.49	Similar to ribosome-binding protein p34 - rat (LOC287633), mRNA
1372245_at	AA894272	0.49	Transcribed sequence with moderate similarity to protein sp:O76071 (H.sapiens) CIA1_HUMAN WD40-repeat containing protein Ciao 1
1372839_at	BG379352	0.49	Similar to mitochondrial ribosomal protein S35; mitochondrial ribosomal protein S34 (LOC297727), mRNA
1373479_at	BE113127	0.49	protein phosphatase 3, catalytic subunit, alpha isoform
1374719_at	BF285339	0.49	Transcribed sequences
1378019_at	AI104278	0.49	EST213567 Normalized rat heart, Bento Soares Rattus sp. cDNA clone RHEBZ70 3' end, mRNA sequence.
1387117_at	AF013965	0.49	zinc finger protein 265
1389156_at	BM384589	0.49	Transcribed sequence with moderate similarity to protein ref:NP_076974.1 (H.sapiens)  hypothetical protein MGC2749 [Homo sapiens]
1367473_at	BI284237	0.489	Similar to Mitochondrial import receptor subunit TOM22 homolog (Translocase of outer membrane 22 kDa subunit homolog) (LOC300075), mRNA
1369675_at	X61677	0.489	inositol 1,4,5-triphosphate receptor 2
1371418_at	BG665035	0.489	Similar to chaperonin containing TCP-1 beta subunit (LOC299809), mRNA
1371956_at	BG372686	0.489	UI-R-CV1-brz-d-03-0-UI.s1 UI-R-CV1 Rattus norvegicus cDNA clone UI-R-CV1-brz-d-03-0-UI 3', mRNA sequence.
1388889_at	AI598417	0.489	putative aminopeptidase Fxna
1389084_at	AI177159	0.489	Transcribed sequences
1390451_at	BM390195	0.489	Similar to hypothetical protein FLJ10904 (LOC361879), mRNA
1391409_at	BI276097	0.489	Similar to amnionless precursor protein (LOC314459), mRNA
1395349_at	BF561061	0.489	Transcribed sequences
1395605_at	BM384452	0.489	Similar to Crk-like protein (LOC287942), mRNA
1398286_at	M64755	0.489	cysteine-sulfinate decarboxylase
1368891_at	AI014001	0.488	acyl-CoA:dihydroxyacetonephosphate acyltransferase
1370920_at	AI102055	0.488	Clone ZG52 mRNA sequence
1372355_at	BE109242	0.488	Transcribed sequences
1373917_at	BE100459	0.488	Transcribed sequences
1383934_at	BI299169	0.488	Transcribed sequences
1388315_at	BI282661	0.488	Similar to neuronal protein 15.6 (LOC299310), mRNA
1388397_at	BI281160	0.488	EBNA1 binding protein 2
1390827_at	AA997679	0.488	Transcribed sequences
1392590_at	BG377201	0.488	Similar to RIKEN cDNA 0610025G21 (LOC305156), mRNA
1396866_s_at	AA850928	0.488	Transcribed sequence with moderate similarity to protein sp:P28328 (H.sapiens) PEX2_HUMAN Peroxisome assembly factor-1
1367522_at	AA894324	0.487	Transcribed sequence with moderate similarity to protein pir:B42832 (H.sapiens) B42832 factor VIII intron 22 protein - human
1371724_at	AA799631	0.487	Similar to Smfn protein (LOC300689), mRNA
1372571_at	AW143187	0.487	heterogeneous nuclear ribonucleoprotein M
1388719_at	BI279735	0.487	ubiquilin 1
1393439_a_at	AI045767	0.487	progressive ankylosis
1371585_at	BE108192	0.486	G1 to phase transition 1
1372014_at	BM392138	0.486	Similar to RIKEN cDNA 4930433D19 (LOC362403), mRNA
1372969_at	BI289651	0.486	Similar to leucine-rich repeat-containing F-box protein  FBL3A (LOC306129), mRNA
1373452_at	AI232273	0.486	Similar to RNA 3-terminal phosphate cyclase-like protein (LOC309301), mRNA
1373875_at	BG381541	0.486	Transcribed sequence with weak  similarity to protein ref:NP_115714.1 (H.sapiens)  hypothetical protein MGC14817 [Homo sapiens]
1376468_at	AI411501	0.486	Similar to histidyl-tRNA synthetase (LOC307492), mRNA
1379272_at	AA963084	0.486	Similar to Polyadenylate binding protein-interacting protein 1 (LOC365684), mRNA
1383139_at	BM386881	0.486	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1387152_at	NM_022186	0.486	nuclear receptor binding factor 2
1387190_at	NM_080787	0.486	diacylglycerol kinase, alpha (80 kDa)
1396381_at	BE097451	0.486	Similar to RIKEN cDNA 4931428F04 gene (LOC364992), mRNA
1398854_at	BI297634	0.486	ribosomal protein L24
1367820_at	NM_053631	0.485	Breakpoint cluster region protein, uterine leiomyoma, 1; barrier to autointegration factor
1371414_at	BI285576	0.485	Similar to Gelsolin precursor, plasma (Actin-depolymerizing factor) (ADF) (Brevin) (LOC296654), mRNA
1372258_at	AI102935	0.485	Transcribed sequences
1373852_at	AA859922	0.485	UI-R-E0-cg-c-04-0-UI.s1 UI-R-E0 Rattus norvegicus cDNA clone UI-R-E0-cg-c-04-0-UI 3' similar to gb|H35379|H35379 EST106482 Rat PC-12 cells, untreated Rattus sp. cDNA, mRNA sequence.
1374006_at	BI295878	0.485	Transcribed sequence with weak  similarity to protein pir:S52790 (H.sapiens) S52790 kynurenine--oxoglutarate transaminase
1378679_at	BG372484	0.485	Transcribed sequences
1386950_at	NM_013065	0.485	protein phosphatase 1, catalytic subunit, beta isoform
1391808_at	AI535140	0.485	Transcribed sequences
1367997_at	NM_022947	0.484	suppressor of K+ transport defect 3
1373636_at	AI406342	0.484	Similar to Testican-1 precursor (SPOCK protein) (LOC306759), mRNA
1374798_at	AA924151	0.484	Unknown (protein for MGC:72610)
1375819_at	BI299678	0.484	Similar to RIKEN cDNA 1200011I18 (LOC298712), mRNA
1380531_at	AI102178	0.484	Similar to hypothetical protein FLJ35613 (LOC300908), mRNA
1398960_at	AI172328	0.484	Similar to CCT (chaperonin containing TCP-1) zeta subunit (LOC288620), mRNA
1398999_at	BF283508	0.484	Isolate p10.15 mRNA sequence
1367546_at	BM390298	0.483	Similar to mitochondrial ribosomal protein L43 (LOC309440), mRNA
1371624_at	AW142595	0.483	Similar to ubiquitous tetratricopeptide containing protein RoXaN; Rotavirus X associated non-structural protein (LOC315158), mRNA
1387923_at	AF054586	0.483	germinal histone H4 gene
1389194_at	AI406491	0.483	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1389202_at	AA944520	0.483	Similar to CG18437-PA (LOC316460), mRNA
1393233_at	BG381676	0.483	Similar to hypothetical gene MGC19595 (LOC306352), mRNA
1397954_at	AW527714	0.483	UI-R-BT1-ajy-d-03-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-ajy-d-03-0-UI 3', mRNA sequence.
1398410_at	AW535349	0.483	Similar to CENTB5 protein (LOC313772), mRNA
1399131_at	AI703580	0.483	UI-R-AB1-yr-a-05-0-UI.s1 UI-R-AB1 Rattus norvegicus cDNA clone UI-R-AB1-yr-a-05-0-UI 3', mRNA sequence.
1367455_at	NM_053864	0.482	valosin-containing protein
1367745_at	NM_031143	0.482	diacylglycerol kinase zeta
1371470_at	AI411895	0.482	alcohol dehydrogenase 4 (class II), pi polypeptide
1371538_at	BF407786	0.482	Similar to A630041N19 protein (LOC308346), mRNA
1372556_at	AA924509	0.482	Ab1-108 mRNA, complete cds
1383158_at	AI575747	0.482	Similar to HIV-1 Rev binding protein (LOC311525), mRNA
1383660_at	AI713166	0.482	Transcribed sequences
1386918_a_at	AF087827	0.482	opioid receptor, sigma 1
1388976_at	AI178272	0.482	Similar to BolA domain-containing protein like (11.4 kD) (1P25) (LOC297388), mRNA
1389201_at	BG373545	0.482	Transcribed sequence with strong similarity to protein ref:NP_060758.1 (H.sapiens)  PHD zinc finger protein XAP135, isoform a [Homo sapiens]
1389791_at	AI179775	0.482	Similar to neuronal ceroid lipofuscinosis type 8 (LOC306619), mRNA
1373305_at	BI280349	0.481	Similar to sorting nexin 4 (LOC360725), mRNA
1374406_at	AA925512	0.481	Similar to RIKEN cDNA 2310022K15 (LOC299113), mRNA
1375521_at	AI230334	0.481	Similar to hypothetical protein MGC45400 (LOC367909), mRNA
1375865_at	BF408844	0.481	Similar to RIKEN cDNA 0610041D19 (LOC316233), mRNA
1376690_at	BI296277	0.481	Similar to SRB7 (supressor of RNA polymerase B) homolog; DNA segment, Chr 6, ERATO Doi 782, expressed (LOC312849), mRNA
1378610_at	BG378206	0.481	Transcribed sequences
1387803_at	NM_022209	0.481	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform
1399106_at	AI176121	0.481	Transcribed sequences
1367900_at	NM_031043	0.48	glycogenin
1372970_at	BM389664	0.48	Similar to SETA binding protein 1; SB1 (LOC292735), mRNA
1373428_at	AA851241	0.48	Similar to breast metastasis suppressor 1-like protein (LOC293668), mRNA
1373475_at	BM390469	0.48	Similar to CG15881-PB (LOC288065), mRNA
1373501_at	AA955361	0.48	UI-R-A1-ey-c-01-0-UI.s1 UI-R-A1 Rattus norvegicus cDNA clone UI-R-A1-ey-c-01-0-UI 3' similar to gi|3018096|gb|AA891217|AA891217 EST195020 Normalized rat heart, Bento Soares Rattus sp. cDNA clone RHEAQ64 3' end, mRNA sequence.
1375189_at	BI285635	0.48	endothelial differentiation-related factor 1
1376288_at	AI408455	0.48	Transcribed sequences
1381042_at	AA956336	0.48	Similar to RIKEN cDNA 1500026N15 gene (LOC361389), mRNA
1383247_a_at	BI291029	0.48	MYB binding protein  1a
1387866_at	AI178160	0.48	Unconventional myosin from rat 3
1389031_at	AI179537	0.48	EST223257 Normalized rat spleen, Bento Soares Rattus sp. cDNA clone RSPCI66 3' end, mRNA sequence.
1367621_at	NM_022546	0.479	Death-associated like kinase
1367727_at	NM_053911	0.479	pleckstrin homology, Sec7 and coiled/coil domains 2
1371002_at	AI704628	0.479	programmed cell death 2
1372032_at	AA851914	0.479	neuroblastoma RAS viral (v-ras) oncogene homolog
1372806_at	AA955295	0.479	vacuolar protein sorting 35
1373102_at	BI282750	0.479	Transcribed sequences
1378976_x_at	AI070952	0.479	Transcribed sequences
1383065_at	AW434166	0.479	UI-R-BJ0p-aft-a-02-0-UI.s1 UI-R-BJ0p Rattus norvegicus cDNA clone UI-R-BJ0p-aft-a-02-0-UI 3', mRNA sequence.
1398296_at	NM_032615	0.479	membrane interacting protein of RGS16
1398495_at	BE121436	0.479	Transcribed sequences
1398997_at	AI102252	0.479	Similar to 14 kDa phosphohistidine phosphatase (LOC296571), mRNA
1367484_at	BM391175	0.478	Transcribed sequence with strong similarity to protein sp:P51965 (H.sapiens) UBC6_HUMAN Ubiquitin-conjugating enzyme E2 E1
1371671_at	AI228513	0.478	Similar to orphan G protein-coupled receptor (LOC293546), mRNA
1373409_at	BI294738	0.478	Transcribed sequence with strong similarity to protein pir:A38919 (H.sapiens) A38919 hypothetical protein 1 - human
1373681_at	AA799505	0.478	mannose phosphate isomerase
1374738_at	BF416387	0.478	Similar to Sdccag10 protein (LOC361887), mRNA
1377237_at	AI137274	0.478	Transcribed sequences
1379385_at	AW534879	0.478	Transcribed sequence with moderate similarity to protein ref:NP_003301.1 (H.sapiens)  tumor suppressing subtransferable candidate 1; tumor-suppressing STF cDNA 1 [Homo sapiens]
1388974_at	AI101527	0.478	Similar to signal recognition particle 19kDa; signal recognition particle 19kD (LOC291685), mRNA
1389123_at	BE095824	0.478	Similar to Small inducible cytokine A6 precursor (CCL6) (C10 protein) (LOC287910), mRNA
1367672_at	NM_024392	0.477	peroxisomal multifunctional enzyme type II
1372005_at	BI294361	0.477	Transcribed sequences
1372019_at	AI231789	0.477	Similar to DNA segment, Chr 13, Wayne State University 50, expressed (LOC290939), mRNA
1372054_at	BG380399	0.477	Similar to sex-determination protein homolog Fem1a (LOC316131), mRNA
1372937_at	AI012601	0.477	disks large-associated protein 4
1373294_at	AI234292	0.477	Similar to hypothetical protein FLJ20502 (LOC289603), mRNA
1374254_a_at	BM386220	0.477	UI-R-CN1-cjf-e-04-0-UI.s1 UI-R-CN1 Rattus norvegicus cDNA clone UI-R-CN1-cjf-e-04-0-UI 3', mRNA sequence.
1375181_at	AI170643	0.477	Similar to 60S RIBOSOMAL PROTEIN L12 (LOC312363), mRNA
1377869_at	BI284261	0.477	Similar to carbon catabolite repression 4 protein homolog (LOC310395), mRNA
1384930_at	AI071862	0.477	Similar to hypothetical protein FLJ25467 (LOC367193), mRNA
1391422_at	BE100486	0.477	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1370195_at	AI408945	0.476	synaptosomal-associated protein, 23 kD
1372770_at	BF281357	0.476	EST445948 Rat Gene Index, normalized rat, Rattus norvegicus cDNA Rattus norvegicus cDNA clone RGIAD63 3' sequence, mRNA sequence.
1374067_at	AA852011	0.476	Similar to 2700078E11Rik protein (LOC365493), mRNA
1377183_at	BE098555	0.476	Transcribed sequences
1388136_at	BF282660	0.476	translocase of inner mitochondrial membrane 9 homolog (yeast)
1392522_at	AA925790	0.476	Similar to hypothetical protein D10Ertd438e (LOC294400), mRNA
1392951_at	AW521231	0.476	Transcribed sequences
1398259_at	NM_053952	0.476	nucleoporin 155kD
1368382_at	NM_053681	0.475	S100 calcium binding protein A3
1372434_at	BE098114	0.475	CASK-interacting protein CIP98
1375695_at	AW535358	0.475	Similar to High-glucose-regulated protein 8 (NY-REN-2 antigen) (LOC313053), mRNA
1377937_at	AA859719	0.475	Similar to mitochondrial ribosomal protein S14 (LOC289143), mRNA
1379839_at	BF549573	0.475	Similar to sperm antigen HCMOGT-1 (LOC303208), mRNA
1380164_at	AI411787	0.475	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1388054_a_at	AF072892	0.475	chondroitin sulfate proteoglycan 2 (versican)
1388806_at	AI176039	0.475	Similar to hypothetical protein BC008647 (LOC305837), mRNA
1369081_at	NM_031522	0.474	neuraminidase 1
1369962_at	NM_031014	0.474	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP
1371649_at	BI289411	0.474	Similar to up-regulated gene 4 (LOC305493), mRNA
1376098_a_at	BF282304	0.474	Similar to Myosin Id (Myosin heavy chain myr 4) (LOC289785), mRNA
1376153_at	BE102621	0.474	Transcribed sequences
1389556_at	BI286000	0.474	Similar to KAP3A (LOC289168), mRNA
1389624_s_at	AA851443	0.474	RSec6 protein
1398615_at	BG379594	0.474	Transcribed sequences
1398754_at	NM_031687	0.474	ubiquitin A-52 residue ribosomal protein fusion product 1
1398933_at	AA894259	0.474	Similar to RIKEN cDNA 2010110M21 (LOC290999), mRNA
1399014_at	AA894099	0.474	vacuolar protein sorting protein 4a
1370276_at	D13127	0.473	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)
1371564_at	AI169159	0.473	Unknown (protein for MGC:72933)
1371858_at	BM385719	0.473	Similar to clathrin-associated protein 19 - mouse (LOC360785), mRNA
1374585_at	AW915152	0.473	Similar to uncharacterized hypothalamus protein HCDASE (LOC361465), mRNA
1376118_at	BE109604	0.473	Transcribed sequences
1376607_a_at	BG380154	0.473	Similar to hypothetical protein FLJ23263 (LOC290811), mRNA
1377442_at	BF409997	0.473	Transcribed sequences
1386877_at	NM_022952	0.473	clathrin-associated protein 17
1389522_at	BE109446	0.473	UI-R-BJ1-aut-f-12-0-UI.s1 UI-R-BJ1 Rattus norvegicus cDNA clone UI-R-BJ1-aut-f-12-0-UI 3', mRNA sequence.
1398810_at	NM_022595	0.473	kinase substrate HASPP28
1370258_at	BI303268	0.472	Hfb2 protein
1371127_at	AB012139	0.472	bone morphogenetic protein 1 (procollagen C-proetinase)
1372942_at	AA943578	0.472	Similar to DNA segment, Chr 7, Wayne State University 180, expressed (LOC308441), mRNA
1373044_at	BI285403	0.472	Similar to Ga17 protein (LOC295975), mRNA
1374128_at	BI278569	0.472	Transcribed sequence with strong similarity to protein pir:T34556 (H.sapiens) T34556 hypothetical protein DKFZp434N0735.1 - human
1374340_at	AA848536	0.472	Transcribed sequences
1374648_at	BM390626	0.472	Transcribed sequences
1376680_at	BG379765	0.472	Transcribed sequences
1380416_at	BF284504	0.472	zinc finger protein 191
1385534_at	BG381021	0.472	UI-R-CT0-bug-c-06-0-UI.s1 UI-R-CT0 Rattus norvegicus cDNA clone UI-R-CT0-bug-c-06-0-UI 3', mRNA sequence.
1386898_at	NM_012966	0.472	heat shock 10 kDa protein 1
1388990_at	AA924622	0.472	spermatogenesis-related protein (Srp)
1389010_at	AW918009	0.472	Similar to Leukotriene A-4 hydrolase (LTA-4 hydrolase) (Leukotriene A(4) hydrolase) (LOC299732), mRNA
1389658_at	BI283104	0.472	Similar to CG6133-PA (LOC361191), mRNA
1367662_at	NM_031682	0.471	hydroxysteroid (17-beta) dehydrogenase 10
1371938_at	AI171369	0.471	EST217325 Normalized rat muscle, Bento Soares Rattus sp. cDNA clone RMUBJ81 3' end, mRNA sequence.
1373877_at	BF401685	0.471	phosphatidylinositol binding clathrin assembly protein
1388854_at	AI233309	0.471	Transcribed sequences
1389041_at	BF408597	0.471	vacuole 14 protein (S. cerevisiae)
1389199_at	AI407536	0.471	Transcribed sequences
1371467_at	AA891221	0.47	Similar to RIKEN cDNA 0610007P06 (LOC293103), mRNA
1372215_at	AA859788	0.47	Similar to mitochondrial ribosomal protein S11 (LOC365291), mRNA
1378221_at	BE117032	0.47	Similar to 2810036K01Rik protein (LOC291469), mRNA
1390127_at	BI296216	0.47	Transcribed sequences
1393045_at	BF556405	0.47	Rho-associated coiled-coil forming kinase 2
1395654_at	BI278299	0.47	Transcribed sequences
1398884_at	BM384924	0.47	Similar to Prefoldin subunit 5 (C-myc binding protein Mm-1) (Myc modulator 1) (EIG-1) (LOC300257), mRNA
1370825_a_at	AA925473	0.469	cell division cycle 42 homolog (S. cerevisiae)
1370984_at	AF151710	0.469	Zinc finger protein (pMLZ-4) mRNA, 3' untranslated region
1371717_at	AA943135	0.469	mitofusin 1
1373413_at	AW531093	0.469	Similar to RIKEN cDNA 2810021O14 (LOC360952), mRNA
1382007_at	AA964563	0.469	Similar to endophilin B1b (LOC292156), mRNA
1368031_at	BI290791	0.468	nucleolar phosphoprotein p130
1368100_at	NM_053568	0.468	phosphate cytidylyltransferase 2, ethanolamine
1368507_at	BI294912	0.468	proteasome (prosome, macropain) subunit, alpha type 3
1372109_at	AI102715	0.468	Transcribed sequence with moderate similarity to protein pir:T12479 (H.sapiens) T12479 hypothetical protein DKFZp564N1362.1 - human
1372644_at	BI282137	0.468	Transcribed sequence with weak  similarity to protein ref:NP_075568.1 (H.sapiens)  hypothetical protein FLJ20989 [Homo sapiens]
1373046_at	AW918273	0.468	Similar to DAZ-associated protein 1 (LOC309292), mRNA
1375956_at	AI104569	0.468	menage a trois 1
1377612_at	BI289992	0.468	Similar to N-terminal aceyltransferase 1 (LOC310399), mRNA
1369452_a_at	NM_053554	0.467	phosphatidylinositol binding clathrin assembly protein
1370243_a_at	AI178772	0.467	prothymosin alpha
1372911_at	BI281950	0.467	Transcribed sequences
1373547_at	AA849782	0.467	Similar to expressed sequence AW209491 (LOC307008), mRNA
1373607_at	BF418530	0.467	Transcribed sequences
1376554_at	BE121079	0.467	Transcribed sequence with moderate similarity to protein ref:NP_114415.1 (H.sapiens)  CDA11 protein [Homo sapiens]
1377021_at	BI303908	0.467	Transcribed sequences
1388580_at	AI100850	0.467	Transcribed sequences
1391223_at	BF394238	0.467	Transcribed sequences
1370064_at	AB004454	0.466	presenilin-2
1371543_at	AI170047	0.466	Similar to Myotubularin-related protein 2 (LOC315422), mRNA
1371604_at	AA858969	0.466	Similar to mitochondrial ribosomal protein L34 (L34mt) (LOC290632), mRNA
1371745_at	AI179388	0.466	Similar to hypothetical protein (LOC310177), mRNA
1371758_at	BM986259	0.466	Similar to RIKEN cDNA 1110021H02; EST AA062310 (LOC289220), mRNA
1372303_at	BE110633	0.466	Similar to 0910001A06Rik protein (LOC299909), mRNA
1374390_at	AI716420	0.466	Similar to RIKEN cDNA 1810009A15 (LOC293720), mRNA
1376275_at	BE101108	0.466	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1384356_at	AW141967	0.466	Transcribed sequence with weak  similarity to protein pir:T26061 (C.elegans) T26061 hypothetical protein W01F3.1a - Caenorhabditis elegans
1388165_at	X53232	0.466	preoptic regulatory factor-2
1388378_at	AI412236	0.466	Similar to RIKEN cDNA 3230401O13 (LOC293484), mRNA
1388515_at	BE112952	0.466	Transcribed sequences
1388938_at	AI411387	0.466	Similar to Ubiquitin carboxyl-terminal hydrolase 5 (Ubiquitin thiolesterase 5) (Ubiquitin-specific processing protease 5) (Deubiquitinating enzyme 5) (Isopeptidase T) (LOC297593), mRNA
1398395_at	AW434272	0.466	Similar to Bodenin (LOC298914), mRNA
1398931_at	BI282246	0.466	Transcribed sequence with moderate similarity to protein ref:NP_080067.1 (M.musculus)  RIKEN cDNA 0610006I08 [Mus musculus]
1372933_at	AA892780	0.465	Similar to sirtuin 7; sir2-related protein type 7; sirtuin type 7; sirtuin (silent mating type information regulation 2, S.cerevisiae, homolog) 7; silent mating type information regulation 2, S.cerevisiae, homolog 7; sirtuin silent  ...
1374711_at	BF283512	0.465	Similar to cleavage and polyadenylation specificity factor 3 (LOC298916), mRNA
1383945_at	AA859827	0.465	Similar to uridine-cytidine kinase 2 (LOC304944), mRNA
1386954_at	NM_030986	0.465	adenylate kinase 2
1389042_at	AI030916	0.465	UI-R-C0-jf-e-11-0-UI.s1 UI-R-C0 Rattus norvegicus cDNA clone UI-R-C0-jf-e-11-0-UI 3', mRNA sequence.
1398872_at	BE107613	0.465	ribosomal protein S13
1399033_at	AA945869	0.465	PEBP2 beta mRNA, 3' UTR
1372525_at	AI227721	0.464	Similar to hypothetical protein MGC18737 (LOC362366), mRNA
1393733_at	BF402788	0.464	UI-R-CA0-bhk-g-06-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bhk-g-06-0-UI 3', mRNA sequence.
1367479_at	AI599994	0.463	Transcribed sequence with strong similarity to protein ref:NP_061118.1 (H.sapiens)  nucleolar protein family A, member 3; homolog of yeast Nop10p; hypothetical protein Nop10p [Homo sapiens]
1367499_at	BM390900	0.463	Transcribed sequence with weak  similarity to protein pir:T20120 (C.elegans) T20120 hypothetical protein C50F4.14 - Caenorhabditis elegans
1367837_at	NM_017281	0.463	proteasome (prosome, macropain) subunit, alpha type 4
1370785_s_at	D63411	0.463	rat homologue of yeast MAS20; Rat mRNA for mitochondrial precursor receptor, complete cds.
1371705_at	BI285508	0.463	Similar to vacuolar protein sorting 26; vacuole protein sorting 26; H beta 58 (LOC361846), mRNA
1376363_at	AI233337	0.463	Similar to ARP10 actin-related protein 10 homolog (LOC299121), mRNA
1370005_at	NM_030586	0.462	cytochrome b5, outer mitochondrial membrane isoform
1371486_at	BG380657	0.462	Similar to U1 snRNP-specific protein C (LOC361808), mRNA
1371539_at	AW921151	0.462	Similar to nucleolar protein family A, member 2 (LOC287273), mRNA
1371952_at	AI010954	0.462	Similar to RIKEN cDNA 2010004P11 (LOC311902), mRNA
1372122_at	AI234654	0.462	tumor susceptibility gene 101
1373161_at	BM386009	0.462	Similar to RIKEN cDNA 6530411B15 (LOC303356), mRNA
1375525_at	BI294783	0.462	microtubule-associated protein, RP/EB family, member 1
1383910_at	BF398220	0.462	putative scaffolding protein POSH
1386615_at	BG665096	0.462	Similar to carbohydrate sulfotransferase 2; N-acetylglucosamine-6-O-sulfotransferase (LOC367145), mRNA
1388194_at	BI295900	0.462	dihydrolipoamide acetyltransferase
1390205_at	BE108876	0.462	Transcribed sequences
1390418_at	AW251888	0.462	Similar to RIKEN cDNA 2310066K23 (LOC316333), mRNA
1398786_at	NM_017284	0.462	proteasome (prosome, macropain) subunit, beta type 2
1399095_at	AI407918	0.462	Similar to Chain  , Structure Determination Of The Small Ubiquitin-Related Modifier Sumo-1, Nmr, 10 Structures (LOC301442), mRNA
1371355_at	BI280270	0.461	Similar to Aa2-258 (LOC296658), mRNA
1372622_at	AW520770	0.461	Hypothetical LOC316001 (LOC316001), mRNA
1388059_a_at	AF029757	0.461	solute carrier family 11 member 2
1398932_at	AI227884	0.461	Similar to protein kinase C inhibitor (LOC312393), mRNA
1398946_at	AI230278	0.461	Similar to mitochondrial ribosomal protein S16 (LOC289902), mRNA
1368137_at	BE107978	0.46	microtubule-associated protein tau
1368379_at	NM_054001	0.46	CD36 antigen (collagen type I receptor, thrombospondin receptor)-like 2
1370948_a_at	BE111706	0.46	Rat mRNA
1371919_at	BF414021	0.46	Similar to RP2 protein, testosterone-regulated - ricefield mouse (Mus caroli) (LOC308518), mRNA
1372206_at	AI412469	0.46	Similar to chromosome 14 open reading frame 9 (LOC364298), mRNA
1372511_at	AI102612	0.46	Similar to DAZ associated protein 2; deleted in azoospermia associated protein 2 (LOC300235), mRNA
1372773_at	BM389728	0.46	Similar to neural proliferation, differentiation and control gene 1 (LOC296562), mRNA
1382156_at	BF409417	0.46	Transcribed sequence with strong similarity to protein ref:NP_075067.2 (H.sapiens)  vacuolar protein sorting 33A
1385405_at	AI535213	0.46	Similar to ADAM23 (LOC301460), mRNA
1388332_at	AA799542	0.46	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)
1389427_at	BM386487	0.46	Transcribed sequence with weak  similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1389546_at	BF418582	0.46	UI-R-BJ2-bqh-f-03-0-UI.s1 UI-R-BJ2 Rattus norvegicus cDNA clone UI-R-BJ2-bqh-f-03-0-UI 3', mRNA sequence.
1389576_at	AA944322	0.46	Similar to U2 small nuclear ribonucleoprotein B (LOC362223), mRNA
1398795_at	NM_053799	0.46	aspartyl-tRNA synthetase
1398832_at	NM_012749	0.46	nucleolin
1398941_at	AI170413	0.46	Similar to nucleic acid binding protein (LOC363005), mRNA
1367908_at	NM_133598	0.459	glycine cleavage system protein H (aminomethyl carrier)
1368240_a_at	X04440	0.459	protein kinase C, beta 1
1372535_at	AI410203	0.459	Similar to RIKEN cDNA 2210012G02 (LOC366431), mRNA
1375971_at	BM386028	0.459	Transcribed sequence with weak  similarity to protein sp:O00515 (H.sapiens) LAD1_HUMAN Ladinin 1
1387196_at	NM_022249	0.459	etoile, Sam68-like protein SLM-2
1388365_at	BI276424	0.459	Similar to Ac39/physophilin (LOC291969), mRNA
1399004_at	BM986309	0.459	Transcribed sequence with strong similarity to protein ref:NP_542786.1 (H.sapiens)  chromosome 20 open reading frame 52; homolog of mouse RIKEN 2010100O12 gene [Homo sapiens]
