GenBank gi	Locus	Fold	Gene Name and/or Information
1374572_at	BI294229	2.209	Similar to opposite strand transcription unit to Stag3; Gats protein (LOC360969), mRNA
1389999_at	BI289392	2.209	eukaryotic elongation factor-2 kinase
1368954_at	NM_033299	2.208	phospholipase D2
1378927_at	BE329364	2.207	Transcribed sequences
1368275_at	NM_080886	2.204	sterol-C4-methyl oxidase-like
1382952_at	C06972	2.204	Similar to ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R) (LOC363854), mRNA
1368474_at	NM_012889	2.203	vascular cell adhesion molecule 1
1377934_at	BF387289	2.203	Transcribed sequences
1398394_at	BE108058	2.202	Transcribed sequences
1377628_at	AW523327	2.199	Transcribed sequence with weak  similarity to protein pir:S16864 (M.musculus) S16864 gene E161 protein - mouse
1394047_at	BE107848	2.199	Transcribed sequences
1368170_at	NM_024371	2.198	GABA transporter protein
1379868_at	BI287855	2.198	Similar to RIKEN cDNA 4732463H20 (LOC310644), mRNA
1384062_at	AI072443	2.198	Transcribed sequences
1396529_at	BF415512	2.198	Transcribed sequences
1381145_at	BE112469	2.197	Transcribed sequences
1376183_at	AI101484	2.193	dipeptidylpeptidase 6
1382096_at	AI705040	2.193	UI-R-G0-uj-b-03-0-UI.s2 UI-R-G0 Rattus norvegicus cDNA clone UI-R-G0-uj-b-03-0-UI 3', mRNA sequence.
1383593_at	BE113211	2.193	Transcribed sequences
1368047_at	NM_022866	2.191	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3
1388890_at	BM390316	2.191	Transcribed sequences
1389307_at	AW435479	2.189	Transcribed sequence with strong similarity to protein ref:NP_005157.1 (H.sapiens)  amyloid beta
1372110_at	BE113148	2.188	Similar to hypothetical protein (LOC305332), mRNA
1376524_at	BG378747	2.187	hypothetical protein
1372276_at	BG378613	2.186	Transcribed sequences
1377121_at	AW520410	2.186	Transcribed sequence with moderate similarity to protein pir:I60307 (E. coli) I60307 beta-galactosidase, alpha peptide - Escherichia coli
1381253_at	BF398826	2.186	Transcribed sequences
1390273_at	BE108849	2.185	Transcribed sequences
1379164_at	BE117672	2.184	Transcribed sequences
1386872_at	BI296290	2.183	insulin-like growth factor 2 receptor
1373788_at	BE097533	2.182	UI-R-BO1-apy-f-04-0-UI.s1 UI-R-BO1 Rattus norvegicus cDNA clone UI-R-BO1-apy-f-04-0-UI 3', mRNA sequence.
1376809_at	BI288660	2.182	Similar to autism susceptibility candidate 2; autism-related protein 1 (LOC304572), mRNA
1377011_at	BF415061	2.182	Similar to hypothetical protein CG003 (LOC304244), mRNA
1385826_at	AA860047	2.181	Transcribed sequences
1373991_at	AI411366	2.18	potassium inwardly-rectifying channel, subfamily J, member 16
1374643_at	BF288461	2.18	Transcribed sequences
1383314_at	BE110098	2.18	UI-R-BJ1-avf-a-08-0-UI.s1 UI-R-BJ1 Rattus norvegicus cDNA clone UI-R-BJ1-avf-a-08-0-UI 3', mRNA sequence.
1378623_at	BE095875	2.177	Transcribed sequences
1372515_at	BI281177	2.175	Transcribed sequences
1369036_at	NM_019309	2.174	glutamate receptor, ionotropic, kainate 2
1376179_at	BM386051	2.174	Transcribed sequences
1384692_at	AI172110	2.173	Transcribed sequences
1398393_at	BF414412	2.171	Transcribed sequences
1389306_at	BM387419	2.169	Transcribed sequence with moderate similarity to protein pir:T46488 (H.sapiens) T46488 hypothetical protein DKFZp434J065.1 - human
1380070_at	BG377244	2.166	Transcribed sequences
1370870_at	M30596	2.163	malic enzyme 1
1388932_at	BI274917	2.162	laminin, alpha 5
1372973_at	BM390574	2.157	2,3-oxidosqualene: lanosterol cyclase
1374015_at	BF281697	2.157	Transcribed sequences
1377473_at	BE349749	2.157	Similar to SWI/SNF-related matrix-associated actin-dependent regulator of chromatin d3; Rsc6p; mammalian chromatin remodeling complex BRG1-associated factor 60C; Swp73-like protein; chromatin remodeling complex BAF60C subunit; SWI/S ...
1369680_at	NM_133611	2.155	solute carrier family 2 (facilitated glucose transporter), member 13
1387184_at	NM_024355	2.155	axin2
1370995_at	AW528459	2.153	POU domain, class 2, transcription factor 1
1368656_at	NM_053856	2.152	secretogranin III
1373062_at	BM388650	2.151	sulfatase FP
1368383_at	NM_022586	2.15	neuropeptide FF-amide peptide precursor
1379785_at	BI275894	2.15	Transcribed sequences
1381153_at	BF405492	2.15	Similar to anaphase-promoting complex subunit 4 (LOC305420), mRNA
1373407_at	BM386604	2.148	Transcribed sequences
1391788_at	BF406814	2.147	Transcribed sequences
1368344_at	NM_017007	2.146	glutamate decarboxylase 1
1383366_at	BE107954	2.146	Transcribed sequences
1390846_at	BG380309	2.146	UI-R-CS0-btv-e-12-0-UI.s1 UI-R-CS0 Rattus norvegicus cDNA clone UI-R-CS0-btv-e-12-0-UI 3', mRNA sequence.
1381576_at	BE105801	2.144	Similar to phosphoinositide-3-kinase, class 2, beta polypeptide; PI3K-C2beta; phosphatidylinositol 3-kinase C2 domain-containing beta polypeptide; PTDINS-3-kinase C2 beta (LOC289021), mRNA
1378413_at	BG379394	2.141	Transcribed sequences
1380982_at	BF412273	2.141	Transcribed sequence with weak  similarity to protein ref:NP_505524.1 (C.elegans)  F46B6.5.p [Caenorhabditis elegans]
1390306_at	AW531909	2.141	Transcribed sequences
1380644_at	AI178542	2.14	Transcribed sequences
1389470_at	AI639117	2.139	B-factor, properdin
1380750_at	BF398240	2.137	UI-R-BS2-bfb-b-12-0-UI.s1 UI-R-BS2 Rattus norvegicus cDNA clone UI-R-BS2-bfb-b-12-0-UI 3', mRNA sequence.
1370391_at	U23407	2.136	cellular retinoic acid binding protein 2
1368484_at	NM_022238	2.134	TAP-like ABC transporter
1386968_at	NM_022676	2.133	protein phosphatase 1, regulatory (inhibitor) subunit 1A
1369065_a_at	NM_017290	2.131	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
1377142_at	AW531487	2.13	Transcribed sequences
1381197_at	BF409085	2.127	Similar to dJ756G23.1 (novel Leucine Rich Protein) (LOC362964), mRNA
1387923_at	AF054586	2.127	germinal histone H4 gene
1370307_at	M64780	2.126	Agrin
1373534_at	BE107209	2.125	Similar to SR rich protein (LOC297942), mRNA
1388657_at	AW253923	2.124	Similar to protocadherin 16 precursor; protocadherin 16; fibroblast cadherin FIB1; fibroblast cadherin 1; dachsous homologue (LOC308912), mRNA
1393437_at	AW142608	2.123	Transcribed sequences
1368395_at	NM_012774	2.122	glypican 3
1382749_at	BI293987	2.12	Transcribed sequence with strong similarity to protein sp:P52756 (H.sapiens) RBM5_HUMAN RNA-binding protein 5
1381381_at	BF416088	2.119	UI-R-CA0-bkq-b-03-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bkq-b-03-0-UI 3', mRNA sequence.
1397436_at	BF409822	2.119	Transcribed sequences
1388751_at	AW433787	2.117	Transcribed sequence with strong similarity to protein ref:NP_057339.1 (H.sapiens)  Autosomal Highly Conserved Protein [Homo sapiens]
1393878_at	BF416495	2.117	UI-R-CA0-bkk-c-08-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bkk-c-08-0-UI 3', mRNA sequence.
1374971_at	AA818954	2.115	Transcribed sequences
1383680_at	BG376339	2.115	UI-R-CT0-buo-d-03-0-UI.s1 UI-R-CT0 Rattus norvegicus cDNA clone UI-R-CT0-buo-d-03-0-UI 3', mRNA sequence.
1384225_at	BI289963	2.113	Transcribed sequences
1394234_x_at	AA848540	2.113	Similar to PC326 protein (LOC289181), mRNA
1382340_at	AA924048	2.111	Similar to Dmx-like 1 (LOC307429), mRNA
1371429_at	AW251326	2.11	dystroglycan 1
1374918_at	BM392219	2.11	Similar to splicing factor Prp8 (LOC287530), mRNA
1377391_at	BF390552	2.109	Transcribed sequences
1397779_at	BF562254	2.109	UI-R-BS0-aoa-g-01-0-UI.r1 UI-R-BS0 Rattus norvegicus cDNA clone UI-R-BS0-aoa-g-01-0-UI 5', mRNA sequence.
1379693_at	AI409154	2.107	Transcribed sequences
1374681_at	AW914967	2.105	Transcribed sequences
1390172_at	AI409946	2.104	Similar to KIAA1630 protein (LOC361272), mRNA
1374817_at	BE103235	2.103	Transcribed sequences
1377535_at	BE101698	2.103	Transcribed sequences
1383493_at	BE102202	2.103	UI-R-BT1-aqf-f-11-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-aqf-f-11-0-UI 3', mRNA sequence.
1378682_at	BF390772	2.102	Transcribed sequences
1381108_at	BF387399	2.102	Similar to hypothetical protein FLJ20436 (LOC302332), mRNA
1387813_at	NM_017003	2.102	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2
1389491_at	BE102814	2.102	sideroflexin 5
1370331_at	AF347936	2.1	interleukin 11 receptor, alpha chain 1
1389420_at	BI279446	2.1	Similar to Signal-transducing adaptor protein-2 (LOC363334), mRNA
1372041_at	BI290059	2.099	discs, large homolog 3 (Drosophila)
1379663_at	AI010254	2.099	Transcribed sequences
1390561_at	BF282191	2.098	Transcribed sequences
1393359_at	AW534487	2.096	Similar to Adapter-related protein complex 3 beta 2 subunit (Beta-adaptin 3B) (AP-3 complex beta-3B subunit) (Beta-3B-adaptin) (Neuron-specific vesicle coat protein beta-NAP) (LOC308777), mRNA
1381697_at	AW530378	2.092	potassium voltage-gated channel, shaker-related subfamily, member 1
1385956_at	BF289086	2.088	Transcribed sequences
1377970_at	BE105494	2.087	Similar to Hypothetical protein D13Ertd275e (LOC294762), mRNA
1377506_at	BI289525	2.086	Similar to GDF-1 embryonic growth factor - mouse (LOC306351), mRNA
1372998_at	BG381555	2.085	Transcribed sequences
1390347_at	AW535909	2.084	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1397749_at	AI715712	2.083	Transcribed sequences
1374567_at	AI408443	2.081	Transcribed sequences
1375905_at	AI412746	2.081	Similar to leukocyte receptor cluster (LRC) member 8 (LOC361506), mRNA
1388579_at	AI176841	2.078	Similar to CG4241-PA (LOC290662), mRNA
1390277_at	BF399451	2.074	Transcribed sequences
1397785_at	BE102056	2.074	Similar to FLJ00375 protein (LOC362801), mRNA
1374131_at	AI411971	2.073	Transcribed sequences
1379091_at	BF551427	2.073	Transcribed sequences
1389467_at	BM391248	2.072	Transcribed sequence with moderate similarity to protein ref:NP_060756.1 (H.sapiens)  hypothetical protein FLJ10970 [Homo sapiens]
1380557_at	BE119497	2.071	branched chain keto acid dehydrogenase subunit E1, alpha polypeptide
1370301_at	U65656	2.07	matrix metalloproteinase 2 (72 KDa type IV collagenase)
1374622_at	BE107309	2.069	Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1387020_at	BG664123	2.069	cytochrome P450, subfamily 51
1372190_at	AI235942	2.068	Transcribed sequences
1372452_at	BG666882	2.068	Transcribed sequences
1386917_at	NM_012744	2.068	Pyruvate carboxylase
1390323_at	AW527815	2.068	Transcribed sequences
1379361_at	BI273703	2.063	peroxisomal membrane protein Pmp26p (Peroxin-11)
1388485_at	BG380414	2.062	UI-R-CT0-btx-a-02-0-UI.s1 UI-R-CT0 Rattus norvegicus cDNA clone UI-R-CT0-btx-a-02-0-UI 3', mRNA sequence.
1390495_at	BI294144	2.062	Transcribed sequences
1384178_at	BF546934	2.059	UI-R-C1-kh-e-08-0-UI.r1 UI-R-C1 Rattus norvegicus cDNA clone UI-R-C1-kh-e-08-0-UI 5', mRNA sequence.
1393897_at	BF419648	2.058	Similar to cadherin 7 precursor (LOC363948), mRNA
1375069_at	BG380530	2.057	Similar to RIKEN cDNA A630054L15; hypothetical protein MGC38041 (LOC362983), mRNA
1383842_at	BG380618	2.054	Similar to hypothetical protein FLJ10415 (LOC363255), mRNA
1380858_at	BE120316	2.053	Transcribed sequences
1391428_at	AI639162	2.052	Transcribed sequences
1371889_at	AW915448	2.051	solute carrier family 22 (organic cation transporter), member 17
1378407_at	BF401415	2.05	Transcribed sequences
1381089_at	BE114458	2.05	Transcribed sequences
1387259_at	AF097593	2.05	cadherin 2
1389605_at	AI101952	2.05	Similar to hypothetical protein FLJ31564 (LOC305434), mRNA
1375865_at	BF408844	2.049	Similar to RIKEN cDNA 0610041D19 (LOC316233), mRNA
1376165_at	BE098153	2.049	Transcribed sequences
1391345_at	BI293047	2.048	Transcribed sequences
1392677_at	AA924705	2.047	Transcribed sequence with moderate similarity to protein prf:2018199A (E. coli) 2018199A beta lactamase IRT-4 [Escherichia coli]
1398022_at	BF404957	2.045	UI-R-CA1-bij-g-01-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bij-g-01-0-UI 3', mRNA sequence.
1380088_at	AW533021	2.04	Transcribed sequences
1368086_a_at	D45252	2.039	2,3-oxidosqualene: lanosterol cyclase
1374825_at	BG380338	2.038	Transcribed sequence with weak  similarity to protein ref:NP_036542.1 (H.sapiens)  type I transmembrane receptor
1374043_at	AI317841	2.037	Similar to RIKEN cDNA 9130427A09 (LOC307288), mRNA
1380406_at	BE115630	2.037	Transcribed sequence with weak  similarity to protein ref:NP_570953.1 (M.musculus)  CAMP [Mus musculus]
1390374_at	BM390970	2.037	fibroblast growth factor receptor-like 1
1370982_at	BI275633	2.036	muscle glycogen phosphorylase
1368254_a_at	AB049572	2.035	sphingosine kinase 1
1369182_at	NM_013057	2.035	coagulation factor 3
1382138_at	BG380221	2.035	Similar to smooth muscle myosin phosphatase regulatory subunit homolog family member, Maternal Effect Lethal MEL-11 (110.6 kD) (mel-11) (LOC366002), mRNA
1390491_at	BM390772	2.035	Similar to Polymerase (RNA) II (DNA directed) polypeptide C (LOC361365), mRNA
1373540_at	AA848306	2.034	Similar to heterogeneous nuclear ribonucleoprotein A2/B1 (LOC362361), mRNA
1376749_at	AA945955	2.033	Transcribed sequence with moderate similarity to protein pir:B35272 (H.sapiens) B35272 osteoinductive factor - human
1384542_at	BE103021	2.033	Transcribed sequences
1392604_at	AA997187	2.031	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1374527_at	AI172274	2.03	Similar to hypothetical protein D4Ertd765e (LOC298381), mRNA
1384311_at	BE113314	2.03	Similar to RIKEN cDNA 4432417F03 (LOC362380), mRNA
1367857_at	NM_053445	2.029	fatty acid desaturase 1
1377205_at	BE107410	2.029	Similar to KIAA0892 protein (LOC290668), mRNA
1368564_at	NM_053427	2.028	differentation-associated Na-dependent inorganic phosphate cotransporter
1373419_at	AI556884	2.028	protein tyrosine phosphatase, receptor type, G
1371518_at	AI235948	2.027	nidogen (entactin)
1379906_at	BM385311	2.026	Transcribed sequences
1377365_at	BG372342	2.025	Similar to hypothetical protein DKFZp434H2010 (LOC298694), mRNA
1379738_at	AI007726	2.025	Transcribed sequences
1380601_at	AI136567	2.025	Transcribed sequences
1390450_a_at	AA945955	2.025	Transcribed sequence with moderate similarity to protein pir:B35272 (H.sapiens) B35272 osteoinductive factor - human
1396645_at	BE109893	2.025	Transcribed sequences
1367707_at	AI179334	2.022	fatty acid synthase
1389770_at	BF405468	2.021	Transcribed sequences
1375690_at	AI138004	2.02	Transcribed sequences
1374921_at	BI274548	2.018	Similar to helicase-like protein NHL isoform 2 (LOC362288), mRNA
1389180_at	AI175035	2.018	phosphorylase kinase, beta
1390325_at	BI289418	2.016	CD38 antigen
1390233_at	BE107321	2.015	Transcribed sequences
1378037_at	BM390078	2.013	Similar to RIKEN cDNA 0610009J22 (LOC305478), mRNA
1379710_at	BE108372	2.013	Transcribed sequences
1372161_at	BE112719	2.012	Transcribed sequences
1378111_at	AI576002	2.012	Transcribed sequences
1392943_at	BG665934	2.011	Similar to 2810049G06Rik protein (LOC313997), mRNA
1379189_at	BF391396	2.009	Transcribed sequences
1391373_at	BF391714	2.009	Transcribed sequences
1398428_at	BF410381	2.009	Transcribed sequences
1381363_at	BF388580	2.008	Similar to low density lipoprotein receptor-related protein 6; low density lipoprotein-related protein 6 (LOC312781), mRNA
1379761_at	BE104517	2.007	Transcribed sequences
1383983_at	BF399458	2.006	Transcribed sequence with weak  similarity to protein ref:NP_061720.1 (H.sapiens)  axonemal dynein heavy chain 7 [Homo sapiens]
1368100_at	NM_053568	2.005	phosphate cytidylyltransferase 2, ethanolamine
1376830_at	AW520496	2.005	Similar to RIKEN cDNA E430013E20 gene (LOC291961), mRNA
1372085_at	AI237657	2.004	Transcribed sequences
1378291_at	BF549558	2.004	Transcribed sequences
1377368_at	AW529710	2.002	Transcribed sequences
1397713_at	AW917120	2.001	Transcribed sequences
1390420_at	AI577849	2	Similar to Carboxypeptidase X 1 (M14 family) (LOC296156), mRNA
1373077_at	BI285902	0.5	Similar to hypothetical protein D11Ertd497e (LOC287278), mRNA
1375630_at	AA859366	0.5	Similar to NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) ([U4/U6.U5] tri-snRNP 15.5 kDa protein) (OTK27) (LOC300092), mRNA
1397750_at	AI145087	0.5	UI-R-BT0-px-a-01-0-UI.s1 UI-R-BT0 Rattus norvegicus cDNA clone UI-R-BT0-px-a-01-0-UI 3', mRNA sequence.
1370345_at	X64589	0.499	cyclin B1
1385601_at	BE115019	0.499	Similar to FSHD region gene 1 (LOC304454), mRNA
1392638_at	AI599308	0.499	Similar to hypothetical protein FLJ23468 (LOC306464), mRNA
1374221_at	BM385468	0.498	solute carrier family 29 (nucleoside transporters), member 3
1375059_at	AI178854	0.498	Transcribed sequence with weak  similarity to protein ref:NP_055712.1 (H.sapiens)  KIAA0924 protein [Homo sapiens]
1377964_at	BM390539	0.498	Transcribed sequence with strong similarity to protein ref:NP_064526.1 (H.sapiens)  protein x 013 [Homo sapiens]
1382010_at	AI711537	0.498	Similar to RIKEN cDNA 1110004B13 (LOC287421), mRNA
1398801_at	NM_134415	0.498	CDK105 protein
1367945_at	NM_053359	0.497	ATX1 (antioxidant protein 1) homolog 1 (yeast)
1370613_s_at	AF461738	0.497	UDP glycosyltransferase 1 family, polypeptide A6
1371576_at	AW142276	0.497	Similar to RIKEN cDNA 1110018B13 (LOC294696), mRNA
1372533_at	AI175790	0.497	Alpha-mannosidase-like protein mRNA, 3' UTR
1373513_at	AI012419	0.497	GTP cyclohydrolase 1
1388780_at	BF395792	0.497	Transcribed sequence with moderate similarity to protein ref:NP_061848.1 (H.sapiens)  TRF2-interacting telomeric RAP1 protein [Homo sapiens]
1390623_at	BI279799	0.497	Transcribed sequence with weak  similarity to protein prf:2113200B (H.sapiens) 2113200B ribosomal protein L21 [Homo sapiens]
1371544_at	BE109666	0.496	Similar to Enhancer of rudimentary homolog (LOC299175), mRNA
1371982_at	AI411960	0.496	AIP1
1373115_at	BI281909	0.496	Transcribed sequences
1373473_a_at	BM386384	0.496	nucleosome assembly protein 1-like 1
1375339_at	BI296679	0.496	Similar to enthoprotin; epsin 4; clathrin interacting protein localized in the trans-Golgi region (LOC317516), mRNA
1379982_at	BE117278	0.496	Transcribed sequences
1382861_at	AA997486	0.496	Transcribed sequence with strong similarity to protein pir:S17361 (H.sapiens) S17361 transcription elongation factor IIS
1383245_at	AI454309	0.496	UI-R-E0-cg-f-07-0-UI.s1 UI-R-E0 Rattus norvegicus cDNA clone UI-R-E0-cg-f-07-0-UI 3', mRNA sequence.
1383287_at	BE329232	0.496	hq38f09.x1 NCI_CGAP_Pr35 Rattus norvegicus cDNA clone IMAGE:3121673 3' similar to TR:Q12828 Q12828 FUSE BINDING PROTEIN. ;, mRNA sequence.
1386344_at	BG662519	0.496	progressive ankylosis
1388460_at	BM384693	0.496	Similar to Capg protein (LOC297339), mRNA
1392610_at	AI176588	0.496	Similar to p53-binding protein-3 (LOC362501), mRNA
1368482_at	NM_133416	0.495	BCL2-related protein A1
1378925_at	AW529408	0.495	cAMP responsive element modulator
1388528_at	AW433875	0.495	Similar to fibrillarin (LOC292747), mRNA
1396267_at	N55607	0.495	p21 (CDKN1A)-activated kinase 2
1367495_at	AI412457	0.494	EST240756 Normalized rat brain, Bento Soares Rattus sp. cDNA clone RBRDO40 3' end, mRNA sequence.
1370008_at	NM_134458	0.494	nuclear receptor coactivator GT198
1372620_at	AI008642	0.494	Similar to acidic (leucine-rich) nuclear phosphoprotein 32 family, member E; leucine-rich acidic nuclear protein like (LOC361999), mRNA
1382303_at	AA996943	0.494	Similar to Q9H4T4 like (LOC306844), mRNA
1388784_at	BI285793	0.494	Similar to Macrophage colony stimulating factor I receptor precursor (CSF-1-R) (Fms proto-oncogene) (c-fms) (LOC307403), mRNA
1392991_at	AA859535	0.494	UI-R-E0-br-c-07-0-UI.s1 UI-R-E0 Rattus norvegicus cDNA clone UI-R-E0-br-c-07-0-UI 3' similar to gb|U57693|HSU57693 Human TFIID subunits TAF20 and TAF15 mRNA, complete cds, mRNA sequence.
1399033_at	AA945869	0.494	PEBP2 beta mRNA, 3' UTR
1367723_a_at	NM_031621	0.493	linker of T-cell receptor pathways
1374897_at	AI406842	0.493	Similar to ALY (LOC287878), mRNA
1376094_at	AA925490	0.493	histidine triad nucleotide binding protein 4
1381592_at	AA926244	0.493	Transcribed sequences
1393131_at	AI112338	0.493	Similar to Flt3 interacting zinc finger protein 1 (LOC292584), mRNA
1380236_at	BM390141	0.492	Similar to integrin alpha 9 protein (LOC316055), mRNA
1381612_at	BF407802	0.492	Transcribed sequences
1384280_at	AA964152	0.492	Similar to nucleolar protein ANKT (LOC311336), mRNA
1392527_at	AI137840	0.492	Transcribed sequence with weak  similarity to protein ref:NP_037370.1 (H.sapiens)  DNAJ domain-containing [Homo sapiens]
1398495_at	BE121436	0.492	Transcribed sequences
1398615_at	BG379594	0.492	Transcribed sequences
1367802_at	NM_019232	0.491	serum/glucocorticoid regulated kinase
1368073_at	NM_012591	0.491	interferon regulatory factor 1
1368896_at	AW521447	0.491	MAD homolog 7 (Drosophila)
1369285_at	NM_031082	0.491	geranylgeranyltransferase type I (GGTase-I)
1372478_at	AI137605	0.491	UI-R-C0-ho-g-12-0-UI.s1 UI-R-C0 Rattus norvegicus cDNA clone UI-R-C0-ho-g-12-0-UI 3', mRNA sequence.
1377644_at	BF284809	0.491	Similar to RIKEN cDNA 4921524J17 (LOC291925), mRNA
1378856_at	BE097672	0.491	Similar to t-complex 11 (LOC308656), mRNA
1386882_at	NM_031318	0.491	t-complex testis expressed 1
1393276_at	BF418487	0.491	Similar to CGI-125 protein (LOC287475), mRNA
1368124_at	NM_133578	0.49	MAP-kinase phosphatase (cpg21)
1381972_at	BG673626	0.49	Similar to cDNA sequence AF229032; novel lethal gene (LOC297498), mRNA
1367523_at	AI409145	0.489	Similar to hypothetical protein, 2-6 (LOC292074), mRNA
1367541_at	BE113965	0.489	Transcribed sequence with moderate similarity to protein ref:NP_054887.1 (H.sapiens)  HSPC133 protein [Homo sapiens]
1392454_at	BI296999	0.489	Similar to hypothetical protein FLJ20729 (LOC292160), mRNA
1393249_at	BF407924	0.489	Similar to retrovirus integration site (LOC315532), mRNA
1391463_at	AI575264	0.488	Similar to DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide RIG-I; RNA helicase (LOC297989), mRNA
1385553_at	AI136699	0.487	Similar to KIAA2010 protein (LOC314388), mRNA
1370459_at	AY007690	0.486	A5D3 protein
1372066_at	AI170703	0.486	Similar to RIKEN cDNA 2610204K14 (LOC293058), mRNA
1373200_at	AI600237	0.486	Similar to eukaryotic translation elongation factor 1 epsilon 1 (LOC291057), mRNA
1376151_a_at	AI407953	0.486	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1382451_at	BM385477	0.486	Similar to SOUL protein (LOC308632), mRNA
1383097_at	BG668881	0.486	Similar to RIKEN cDNA 2010012O05 (LOC294012), mRNA
1383673_at	BI288925	0.486	Similar to Nap1l2 (LOC317247), mRNA
1389482_at	BI279701	0.486	Similar to EST AA792894 (LOC312437), mRNA
1397704_at	BF407449	0.486	UI-R-BJ2-bqs-d-04-0-UI.s1 UI-R-BJ2 Rattus norvegicus cDNA clone UI-R-BJ2-bqs-d-04-0-UI 3', mRNA sequence.
1367936_at	NM_019206	0.485	serine/threonine kinase 10
1374399_at	AA801107	0.485	pincher
1376200_at	BM385898	0.485	Unknown (protein for MGC:72974)
1391422_at	BE100486	0.485	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1378179_a_at	AW524864	0.484	Transcribed sequences
1381333_at	BI294382	0.484	Transcribed sequences
1397556_at	BF563329	0.484	UI-R-BJ0p-ais-c-05-0-UI.r1 UI-R-BJ0p Rattus norvegicus cDNA clone UI-R-BJ0p-ais-c-05-0-UI 5', mRNA sequence.
1367975_at	NM_012823	0.483	Annexin III (Lipocortin III)
1368186_a_at	U21683	0.483	spleen tyrosine kinase
1379476_at	AA963457	0.483	Similar to CG6540-PA (LOC295692), mRNA
1381149_at	BI293484	0.483	Transcribed sequences
1384296_at	AI136388	0.483	Transcribed sequence with weak  similarity to protein pir:S10889 (H.sapiens) S10889 proline-rich protein - human
1387072_at	NM_053794	0.483	protein kinase, lysine deficient 1
1389181_at	BM389650	0.483	Similar to Rap1 guanine nucleotide-exchange factor PDZ-GEF2B (LOC303141), mRNA
1387786_at	AI711244	0.482	myotrophin
1389210_at	BE109711	0.482	Similar to lymphocyte cytosolic protein 1 (LOC306071), mRNA
1369025_at	NM_019295	0.481	CD5 antigen
1378028_at	BM384425	0.481	Similar to spindle assembly checkpoint protein (LOC297176), mRNA
1383658_at	BF406601	0.481	lysosomal-associated protein transmembrane 5
1384029_at	BF554085	0.481	Similar to DNA excision repair gene (LOC298074), mRNA
1391387_s_at	AI072956	0.481	Transcribed sequences
1392541_at	AW919608	0.481	Similar to RIKEN cDNA A030007L17; EST AA673177 (LOC362370), mRNA
1367467_at	BG380638	0.48	Similar to nitrogen fixation cluster-like (LOC288740), mRNA
1374200_at	BM392280	0.48	RAS protein-specific guanine nucleotide-releasing factor 2
1380416_at	BF284504	0.48	zinc finger protein 191
1383327_at	AI576297	0.48	Transcribed sequence with moderate similarity to protein pir:JC5193 (H.sapiens) JC5193 nuclear protein H731 - human
1383578_at	AI071227	0.48	Transcribed sequences
1389479_at	AI233750	0.48	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1392385_at	BF398583	0.48	nuclear receptor coactivator 3
1398508_at	BF546374	0.48	Similar to polyglutamine-containing protein (LOC314329), mRNA
1367974_at	NM_012823	0.479	Annexin III (Lipocortin III)
1368650_at	NM_031135	0.479	TGFB inducible early growth response
1393346_at	BI279863	0.479	Transcribed sequences
1377826_at	AI176721	0.478	Transcribed sequence with weak  similarity to protein pir:I52726 (H.sapiens) I52726 microtubule-associated protein EB1 [imported] - human
1387201_at	NM_053588	0.478	ring finger protein 138
1390294_at	BE100986	0.477	Transcribed sequences
1399143_at	BI294702	0.477	ubiquitin-conjugating enzyme E2N (homologous to yeast UBC13)
1371365_at	BI279788	0.476	Similar to RIKEN cDNA 6720465F12 (LOC292588), mRNA
1378973_at	BF396260	0.476	Transcribed sequences
1380243_at	BE098614	0.476	Similar to CG14803-PA (LOC313108), mRNA
1388344_at	BI283112	0.476	Similar to RIKEN cDNA 1110005A23 (LOC362819), mRNA
1372513_at	AI103616	0.475	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)
1379074_at	BE329032	0.475	Transcribed sequences
1384187_at	BF551686	0.475	UI-R-C1-kk-e-12-0-UI.r1 UI-R-C1 Rattus norvegicus cDNA clone UI-R-C1-kk-e-12-0-UI 5', mRNA sequence.
1387872_at	BF396270	0.475	heterogeneous nuclear ribonucleoprotein A1
